Position,Candidate,Party,Votes,% Vote Share,Valid Votes,constituency,Year
6,Rashid Karamat Ali Butt,IND,538,0.3,157391,NA-130,2013
7,Ijaz Ahmad,IND,339,0.2,157391,NA-130,2013
8,Rana Sajid Sarwar,IND,146,0.1,157391,NA-130,2013
9,Malik Muhammad Tufail,Others,134,0.1,157391,NA-130,2013
10,Ch. Shoukat Ali Cabail,Others,99,0.1,157391,NA-130,2013
11,Javaid Anwar Awan,IND,83,0.1,157391,NA-130,2013
12,Abid Hameed Khan Meo,IND,79,0.0,157391,NA-130,2013
13,Rana Muhammad Ashraf,Others,77,0.0,157391,NA-130,2013
14,Ch. Saleem Ali,IND,61,0.0,157391,NA-130,2013
15,Mehmood Qalandar,Others,55,0.0,157391,NA-130,2013
16,Asim Aziz,IND,52,0.0,157391,NA-130,2013
17,Muhammad Waqar Shafqat Butt,IND,48,0.0,157391,NA-130,2013
18,Ch. Allah Ditta Heera,IND,46,0.0,157391,NA-130,2013
19,Malik Usman Hamza Awan,IND,34,0.0,157391,NA-130,2013
20,Ch. Murtaza Akram Natt,IND,28,0.0,157391,NA-130,2013
21,Nazli Ifat Tabasum,MQM,24,0.0,157391,NA-130,2013
22,Ch. Amir Zaheer Mayo,IND,16,0.0,157391,NA-130,2013
23,Malik Sikandar Awan,IND,11,0.0,157391,NA-130,2013
1,Rana Afzaal Hussain,PML-N,73742,47.0,152243,NA-131,2013
2,Umer Aftab Dhillon,IND,41574,26.5,152243,NA-131,2013
3,Rahat Aman Ullah Bhatti,PTI,21637,13.8,152243,NA-131,2013
4,Muhtarma Amna Zulifqar Dhillon,PML,11558,7.4,152243,NA-131,2013
5,Ahmad Atiq Anwar,IND,1137,0.7,152243,NA-131,2013
6,Ch. Zahid Imran Korotana,Others,1130,0.7,152243,NA-131,2013
7,Syed Tawakal Hussain Shah,PST,392,0.2,152243,NA-131,2013
8,Muhammad Afzaal,Others,365,0.2,152243,NA-131,2013
9,Mazhar Ali Alvi,MQM,254,0.2,152243,NA-131,2013
10,Aftab Iqbal Ahmad,IND,211,0.1,152243,NA-131,2013
11,Rana Ijaz  Hussain,IND,125,0.1,152243,NA-131,2013
12,Saeed Akhtar,IND,118,0.1,152243,NA-131,2013
1,Rana Tanveer Hussain,PML-N,93140,56.2,160238,NA-132,2013
2,Syed Ghayoor Abbas Bukhari,PPPP,33439,20.2,160238,NA-132,2013
3,Ayaz Sarfraz Malik,PTI,16467,9.9,160238,NA-132,2013
4,Rana Anwar Ul Haq,IND,10252,6.2,160238,NA-132,2013
5,Riaz Ahmad Bhulla,Others,3573,2.2,160238,NA-132,2013
6,Rai Mansab Ali Khan,IND,1231,0.7,160238,NA-132,2013
7,Sahhabzada Mian Jalil Sharaqpuri,IND,444,0.3,160238,NA-132,2013
8,Syed Muhammad Abu Talib Bukhari,IND,424,0.3,160238,NA-132,2013
9,Mian Muhammad Javed,IND,376,0.2,160238,NA-132,2013
10,Ali Asghar Manda,IND,199,0.1,160238,NA-132,2013
11,Syed Tawakal Hussain Shah,IND,155,0.1,160238,NA-132,2013
12,Muhammad Naseef Awan,Others,123,0.1,160238,NA-132,2013
13,Rana Sajjad Ahmad,IND,67,0.0,160238,NA-132,2013
14,Kabeer Ahmad Goraya,IND,65,0.0,160238,NA-132,2013
15,Sir Maqsood Ahmad,IND,55,0.0,160238,NA-132,2013
16,Malik Muhammad Asif Awan,MQM,52,0.0,160238,NA-132,2013
17,Malik Baber Ali,IND,43,0.0,160238,NA-132,2013
18,Nasir Mahmood Ch.,QWP,40,0.0,160238,NA-132,2013
19,Sajid Iqbal,IND,27,0.0,160238,NA-132,2013
20,Mohammad Farya Hussain,IND,27,0.0,160238,NA-132,2013
21,Mukhdoom Pir Syed Sajjad Hussain Shah Mosvi,IND,17,0.0,160238,NA-132,2013
22,Arshad Mahmood Munda,IND,14,0.0,160238,NA-132,2013
23,Malik Muhammad Iqbal Jora,APML,8,0.0,160238,NA-132,2013
1,Mian Javed Latif,PML-N,68909,42.8,156671,NA-133,2013
2,Muhammad Saeed Virk,IND,31520,19.6,156671,NA-133,2013
3,Abu Bakar Virk,PTI,25874,16.1,156671,NA-133,2013
4,Muhammad Nawaz,IND,15717,9.8,156671,NA-133,2013
5,Altaf Hussain Virk,PPPP,4796,3.0,156671,NA-133,2013
6,Khalid Mahmood Virk,Others,4623,2.9,156671,NA-133,2013
7,Sardar Ali Ahmad Dogar,IND,902,0.6,156671,NA-133,2013
8,Mian Muhammad Munawar Latif,IND,848,0.5,156671,NA-133,2013
9,Ch. Tanveer Ahmad Kambo,Others,686,0.4,156671,NA-133,2013
10,Malik Imran Rehmat Dogar,IND,514,0.3,156671,NA-133,2013
11,Muhamamd Arif Khan Sandila,IND,451,0.3,156671,NA-133,2013
12,Mian Ijaz Latif,IND,434,0.3,156671,NA-133,2013
13,Syed Raza Hussain Babar Rizvi,IND,284,0.2,156671,NA-133,2013
14,Muhammad Fazal Bilal,IND,257,0.2,156671,NA-133,2013
15,Sajjad Ahmad Khan,IND,231,0.1,156671,NA-133,2013
16,Muhammad Ilyas,IND,172,0.1,156671,NA-133,2013
17,Muhammad Hanif Ullah,Others,141,0.1,156671,NA-133,2013
18,Nazia Latif,IND,104,0.1,156671,NA-133,2013
19,Yawar Altaf Virk,IND,95,0.1,156671,NA-133,2013
20,Usman Virk,IND,81,0.1,156671,NA-133,2013
21,Shah Nawaz Sura,IND,32,0.0,156671,NA-133,2013
1,Sardar Muhammad Irfan Dogar,PML-N,44397,29.2,146443,NA-134,2013
2,Khan Sher Akbar Khan,IND,41103,27.0,146443,NA-134,2013
3,Khurram Munawar Manj,PML,39363,25.9,146443,NA-134,2013
4,Shafqat Ali,PTI,14131,9.3,146443,NA-134,2013
5,Munawar Hussain Munj,IND,1404,0.9,146443,NA-134,2013
6,Rai Azeem Saeed Khan,IND,1330,0.9,146443,NA-134,2013
7,Malik Mushtaq Ahmad,IND,1139,0.7,146443,NA-134,2013
8,Mian Asad Ullah,Others,1087,0.7,146443,NA-134,2013
9,Sardar Muhammad Afzaal Dogar,IND,711,0.5,146443,NA-134,2013
10,Sohaib Mushtaq,IND,545,0.4,146443,NA-134,2013
11,Ch. Muzammal Hussain,IND,441,0.3,146443,NA-134,2013
12,Fakhar Rasheed,IND,332,0.2,146443,NA-134,2013
13,Rai Ijaz Ahmad Khan,IND,319,0.2,146443,NA-134,2013
14,Syed Imran Abdullah,MQM,117,0.1,146443,NA-134,2013
15,Meharban Saeen Rana Abdul Ghafoor Mian,Others,24,0.0,146443,NA-134,2013
1,Muhammad Barjees Tahir,PML-N,82150,48.7,161938,NA-135,2013
2,Muhammad Arshad Sahi,PTI,40628,24.1,161938,NA-135,2013
3,Rai Ijaz Ahmad Khan,IND,15117,9.0,161938,NA-135,2013
4,Mian Shamim Haider,PPPP,9786,5.8,161938,NA-135,2013
5,Sarfraz Ahmad Khan,Others,4652,2.8,161938,NA-135,2013
6,Saleem Iqbal,IND,1676,1.0,161938,NA-135,2013
7,Ghulam Abbass,Others,1605,1.0,161938,NA-135,2013
8,Ijaz Abbas,IND,1469,0.9,161938,NA-135,2013
9,Muhammad Naeem Khan Lodhi,IND,1067,0.6,161938,NA-135,2013
10,Altaf Hussain,IND,655,0.4,161938,NA-135,2013
11,Muhammad Saleem Khan,IND,603,0.4,161938,NA-135,2013
12,Muhammad Shahbaz Mukhtar,IND,603,0.4,161938,NA-135,2013
13,Nazar Hussain,IND,458,0.3,161938,NA-135,2013
14,Maqsood Ahmad Awan,IND,351,0.2,161938,NA-135,2013
15,Hakeem Muhammad Sadique,Others,256,0.2,161938,NA-135,2013
16,Rai Azeem Saeed Khan,IND,159,0.1,161938,NA-135,2013
17,Muhammad Malik,MQM,154,0.1,161938,NA-135,2013
18,Mian Ziaullha Zia,IND,131,0.1,161938,NA-135,2013
19,Sardar Asif Dogar,IND,98,0.1,161938,NA-135,2013
20,Ume Kalsoom,IND,60,0.0,161938,NA-135,2013
21,Muhammad Azam,IND,50,0.0,161938,NA-135,2013
22,Nasir Ali,IND,48,0.0,161938,NA-135,2013
23,Naveed Hussain,IND,42,0.0,161938,NA-135,2013
24,Muhammad Ehtsham Amir-Ud-Din,IND,32,0.0,161938,NA-135,2013
25,Ch. Muhammad Hussain,IND,29,0.0,161938,NA-135,2013
26,Ahmad Raza,QWP,27,0.0,161938,NA-135,2013
27,Mian Muhammad Farooq Nasir,IND,19,0.0,161938,NA-135,2013
28,Wajad Mustafa Bajwa,IND,13,0.0,161938,NA-135,2013
1,Bilal Ahmad Virk,PML-N,73775,42.2,168173,NA-136,2013
2,Shahid Manzoor Gill,PML,36238,20.7,168173,NA-136,2013
3,Ch. Muhammed Yaqoob,PTI,33408,19.1,168173,NA-136,2013
4,Abid Hussain Chattha,IND,15595,8.9,168173,NA-136,2013
5,Umer Farooq,IND,2861,1.6,168173,NA-136,2013
6,Abdul Rauf,IND,1243,0.7,168173,NA-136,2013
7,Rana Muhammad Afzal Khan,IND,1059,0.6,168173,NA-136,2013
8,Ali Amir Joyia,IND,1052,0.6,168173,NA-136,2013
9,Sheharyar Virk,IND,1039,0.6,168173,NA-136,2013
10,Nazia Latif,IND,569,0.3,168173,NA-136,2013
11,Muhammad Arif Khan,IND,561,0.3,168173,NA-136,2013
12,Hamid Mehmood,MQM,373,0.2,168173,NA-136,2013
13,Syed Abrar Hussain Shah,IND,244,0.1,168173,NA-136,2013
14,Bashir Ahmed,IND,156,0.1,168173,NA-136,2013
1,Rai Mansab Ali Khan,PML-N,61329,34.9,169065,NA-137-Nankana,2013
2,Ijaz Ahmed Shah,IND,56050,31.9,169065,NA-137-Nankana,2013
3,Saeed Ahmed Zafar,IND,22967,13.1,169065,NA-137-Nankana,2013
4,Shahjahan Ahmad Bhatti,PPPP,12007,6.8,169065,NA-137-Nankana,2013
5,Rai Muhammad Akram Khan Bhatti,PTI,8896,5.1,169065,NA-137-Nankana,2013
6,Rana Muhammad Aslam Khan,IND,3264,1.9,169065,NA-137-Nankana,2013
7,Touseef Ahmad Rai,IND,1936,1.1,169065,NA-137-Nankana,2013
8,Abdul Ghafar Khan,IND,869,0.5,169065,NA-137-Nankana,2013
9,Muhammad Qasim,PST,635,0.4,169065,NA-137-Nankana,2013
10,Muhammad Khan,QWP,380,0.2,169065,NA-137-Nankana,2013
11,Muhammad Imran Ijaz Butt,MQM,344,0.2,169065,NA-137-Nankana,2013
12,Syed Izhar ul Hassan,IND,168,0.1,169065,NA-137-Nankana,2013
13,Agha Abbas Raza,IND,144,0.1,169065,NA-137-Nankana,2013
14,Umme Kalsoom,IND,76,0.0,169065,NA-137-Nankana,2013
1,Salman Hanif,PML-N,75694,40.2,182053,NA-138,2013
2,Sardar Tufail Ahmad Khan,IND,28401,15.1,182053,NA-138,2013
3,Sadia Bano,IND,26441,14.0,182053,NA-138,2013
4,Nasira Meo,PPPP,20526,10.9,182053,NA-138,2013
5,Hassan Ali Khan,PTI,13127,7.0,182053,NA-138,2013
6,Ch. Hakim Ali,IND,7448,4.0,182053,NA-138,2013
7,Dr. Sahibzada Abul Khair Muhammad Zubair,Others,4937,2.6,182053,NA-138,2013
8,Muhammad Rafiq,Others,1654,0.9,182053,NA-138,2013
9,Amjad Ali Tufail,IND,1152,0.6,182053,NA-138,2013
10,Aizaz Haider,Others,971,0.5,182053,NA-138,2013
11,Ch. Muhammad Saleem Nasim Sandhu,IND,743,0.4,182053,NA-138,2013
12,Waqar Mustafa,IND,638,0.3,182053,NA-138,2013
13,Fida Hussain Matta,IND,126,0.1,182053,NA-138,2013
14,Muhammad Asif Yaqub,IND,93,0.0,182053,NA-138,2013
15,Muhammad Imran Hanif,IND,64,0.0,182053,NA-138,2013
16,Nasir Iqbal,IND,38,0.0,182053,NA-138,2013
1,Waseem Akhtar Shaikh,PML-N,102565,54.3,182988,NA-139,2013
2,Ch. Manzoor Ahmad,PPPP,28594,15.2,182988,NA-139,2013
3,Sardar Muhammad Hussain Dogar,PTI,21725,11.5,182988,NA-139,2013
4,Naveed Hashim Rizvi,IND,14954,7.9,182988,NA-139,2013
5,Muhammad Javed,Others,5399,2.9,182988,NA-139,2013
6,Umar Hayat,IND,4540,2.4,182988,NA-139,2013
7,Saad Ullah Hameed Doger,IND,1558,0.8,182988,NA-139,2013
8,Ghulam Muhammad,Others,849,0.4,182988,NA-139,2013
9,Munir Ahmad,IND,642,0.3,182988,NA-139,2013
10,Uzma Waseem,IND,548,0.3,182988,NA-139,2013
11,Sardar Riaz Ahmad Dogar,IND,486,0.3,182988,NA-139,2013
12,Khizar Hayat,Others,461,0.2,182988,NA-139,2013
13,Safdar Ali,MQM,209,0.1,182988,NA-139,2013
14,Ghulam Mustafa Tabassam,IND,140,0.1,182988,NA-139,2013
15,Shabbir Ahmad Khan,IND,127,0.1,182988,NA-139,2013
16,Munir Ahmad Zafar,Others,123,0.1,182988,NA-139,2013
17,Rana Habib-Ur-Rehman Khan,IND,68,0.0,182988,NA-139,2013
1,Rasheed Ahmad Khan,PML-N,69212,36.8,182127,NA-140,2013
2,Azeem-Ud-Deen Zahid,PML,50488,26.9,182127,NA-140,2013
3,Mian Khursheed Mehmood Kasuri,PTI,30431,16.2,182127,NA-140,2013
4,Sardar Asif Ahmad Ali,IND,19150,10.2,182127,NA-140,2013
5,Amjad Iqbal,IND,3868,2.1,182127,NA-140,2013
6,Ibtsaam Illahi Zahir,Others,2029,1.1,182127,NA-140,2013
7,Mian Mukhtar Ahmad,Others,1878,1.0,182127,NA-140,2013
8,Bukhtiar Mehmood Kasuri,IND,1416,0.8,182127,NA-140,2013
9,Rai Ishtiaq Ahmad,IND,728,0.4,182127,NA-140,2013
10,Muhammad Ali Javed,IND,672,0.4,182127,NA-140,2013
11,Zaeem-ud-Deen Aabid,IND,599,0.3,182127,NA-140,2013
12,Sardar Muhammad Sarwar Dogar,IND,512,0.3,182127,NA-140,2013
13,Rai Muhammad Younas,MQM,467,0.2,182127,NA-140,2013
14,Muhammad Ayub Khan,IND,237,0.1,182127,NA-140,2013
15,Mujahid Muhammad Yaqoob,IND,146,0.1,182127,NA-140,2013
16,Malak Mazhar Rasheed,IND,134,0.1,182127,NA-140,2013
17,Rana Muhammad Ali,Others,89,0.0,182127,NA-140,2013
18,Sardar Mushtaq Ahmad,IND,71,0.0,182127,NA-140,2013
1,Rana Muhammad Ishaque Khan,PML-N,96737,49.6,187800,NA-141,2013
2,Sardar Muhammad Asif Nakai,IND,66886,34.3,187800,NA-141,2013
3,Akeel Aslam,PTI,11989,6.1,187800,NA-141,2013
4,Syed Tariq Raza,PPPP,4536,2.3,187800,NA-141,2013
5,Syed Raza Abbas,IND,1573,0.8,187800,NA-141,2013
6,Ch. Nasir Ali,IND,1371,0.7,187800,NA-141,2013
7,Nazir Ahmed,Others,1105,0.6,187800,NA-141,2013
8,Rana Sikandar Hayat,IND,760,0.4,187800,NA-141,2013
9,Rana Liaqat Ali Khan,IND,736,0.4,187800,NA-141,2013
10,Sardar Majid Akhtar Nakai,IND,572,0.3,187800,NA-141,2013
11,Nazir Ahmed,MQM,418,0.2,187800,NA-141,2013
12,Sardar Muhammad Atif Nakai,IND,387,0.2,187800,NA-141,2013
13,Shahzad Bashir,Others,259,0.1,187800,NA-141,2013
14,Jehangir Ali,IND,199,0.1,187800,NA-141,2013
15,Arshad Ali,APML,93,0.0,187800,NA-141,2013
16,Shahnaz Arshad,IND,93,0.0,187800,NA-141,2013
17,Sibghatullah Ch.,IND,86,0.0,187800,NA-141,2013
1,Rana Mohammad Hayat Khan,PML-N,85243,47.4,173646,NA-142,2013
2,Sardar Talib Hassan Nakai,PML,65758,36.6,173646,NA-142,2013
3,Rana Tanveer Riaz Khan,PTI,18325,10.2,173646,NA-142,2013
4,Muhammad Ramzan,Others,1923,1.1,173646,NA-142,2013
5,Sardar Muhammad Asif Nakai,IND,1073,0.6,173646,NA-142,2013
6,Sardar Ahmed Ayyaz Nakai,IND,405,0.2,173646,NA-142,2013
7,Rana Khizar Hayat Khan,IND,202,0.1,173646,NA-142,2013
8,Rana Dilshad  Ali,IND,179,0.1,173646,NA-142,2013
9,Syed Naveed-Ul-Hassan Shah,IND,137,0.1,173646,NA-142,2013
10,Rana Sikandar Hayat,IND,135,0.1,173646,NA-142,2013
11,Muhammad Arshad Saqi,IND,112,0.1,173646,NA-142,2013
12,Rana Naeem Riaz Ahmed,IND,102,0.1,173646,NA-142,2013
13,Rana Liaqat Ali Khan,IND,52,0.0,173646,NA-142,2013
1,Ch. Nadeem Abbas Rebera,PML-N,90652,52.8,164540,NA-143,2013
2,Rai Muhammad Aslam Kharal,PML,39328,22.9,164540,NA-143,2013
3,Liaqat Ali,Others,14924,8.7,164540,NA-143,2013
4,Sumaira Mushtaq Kharal,PPPP,14351,8.4,164540,NA-143,2013
5,Rai Muhammad Saleem Raza Kharral,IND,2122,1.2,164540,NA-143,2013
6,Malik Fakhar Iqbal Wattoo,APML,963,0.6,164540,NA-143,2013
7,Abu Bakar Muhammad Saeed,IND,955,0.6,164540,NA-143,2013
8,Nadeem Ahmad Owaisi,Others,605,0.4,164540,NA-143,2013
9,Syed Noor Ul Hassan Shah,IND,267,0.2,164540,NA-143,2013
10,Mudassar Ejaz,MQM,141,0.1,164540,NA-143,2013
11,Nasir Ali,IND,134,0.1,164540,NA-143,2013
12,Noor Ul Aeen Rai,IND,98,0.1,164540,NA-143,2013
1,Muhammad Arif Ch.,PML-N,105162,60.7,169090,NA-144,2013
2,Shafeeqa Baghum Rao Sikindar,PPPP,36723,21.2,169090,NA-144,2013
3,Rao Khalid Khan,PTI,18648,10.8,169090,NA-144,2013
4,Muhammad  Farooq Sheikh,Others,1773,1.0,169090,NA-144,2013
5,Fayyaz Ahmed Khan Ghori,IND,1448,0.8,169090,NA-144,2013
6,Syed Sajjad Hussain Shah Kazmi,APML,1347,0.8,169090,NA-144,2013
7,Sajid Masieh,IND,1258,0.7,169090,NA-144,2013
8,Iftikhar Ahmed,Others,653,0.4,169090,NA-144,2013
9,Ch. Sajjad Ul Hassan,IND,448,0.3,169090,NA-144,2013
10,Rao Abdul Qayyum Khan,IND,353,0.2,169090,NA-144,2013
11,Azhar Mahmood Ch.,IND,280,0.2,169090,NA-144,2013
12,Sakhawat Ali,IND,116,0.1,169090,NA-144,2013
13,Mahmood Ahmed Gill,IND,112,0.1,169090,NA-144,2013
14,Naseer Ahmed Khan Ghori,IND,101,0.1,169090,NA-144,2013
15,Fayyaz Ali,MQM,87,0.1,169090,NA-144,2013
16,Rana Ghulam Raza,IND,83,0.0,169090,NA-144,2013
17,Shahzad Kaleem Tahir,IND,82,0.0,169090,NA-144,2013
18,Ali Arif Ch.,IND,60,0.0,169090,NA-144,2013
19,Muhammad Ashraf,IND,52,0.0,169090,NA-144,2013
20,Khalid Mahmood,IND,50,0.0,169090,NA-144,2013
21,Sahib Zada Mian Muhammad Attiq Ur Rehman,IND,49,0.0,169090,NA-144,2013
22,Muhammad Shair Sajid,IND,45,0.0,169090,NA-144,2013
23,Shafqat Ali Rabbani,IND,39,0.0,169090,NA-144,2013
24,Malik Ghulam Qadir,IND,38,0.0,169090,NA-144,2013
25,Abdul Sattar Wahla,IND,35,0.0,169090,NA-144,2013
26,Paulus Bhatti,IND,21,0.0,169090,NA-144,2013
27,Ch. Shahid Saleem,IND,14,0.0,169090,NA-144,2013
28,Mian Rab Nawaz Khan Watto,IND,13,0.0,169090,NA-144,2013
1,Syed Muhammad Ashiq Hussain,PML-N,89025,50.1,170939,NA-145,2013
2,Rana Khizar Hayat Khan,IND,31659,17.8,170939,NA-145,2013
3,Syed Sumsan Ali Shah Bukhari,PPPP,26601,15.0,170939,NA-145,2013
4,Syed Ali Husnain Shah,PTI,12319,6.9,170939,NA-145,2013
5,Rao Wajid Ali Khan,Others,4852,2.7,170939,NA-145,2013
6,Syed Muhammad Mehdi,IND,4185,2.4,170939,NA-145,2013
7,Syed Ameer Hamza Kirmani,IND,657,0.4,170939,NA-145,2013
8,Rana Muhammad Nasir Khan,IND,554,0.3,170939,NA-145,2013
9,Bilal Zia Qamer,IND,453,0.3,170939,NA-145,2013
10,Anayat Ali Cheema,IND,426,0.2,170939,NA-145,2013
11,Bushra Ali,IND,135,0.1,170939,NA-145,2013
12,Muzammil Hussain Joyia,MQM,73,0.0,170939,NA-145,2013
1,Rao Muhammad Ajmal Khan,PML-N,109998,64.9,163583,NA-146,2013
2,Mian Manzoor Ahmad Khan Wattoo,PPPP,27401,16.2,163583,NA-146,2013
3,Abdur Raoof Dolla,PTI,11999,7.1,163583,NA-146,2013
4,Malik Nazar Fareed Khokhar,Others,9466,5.6,163583,NA-146,2013
5,Syed Mehr Hassan Gillani,Others,1123,0.7,163583,NA-146,2013
6,Muhammad Jaffar,IND,867,0.5,163583,NA-146,2013
7,Ch. Ahmad Nawaz Khan,IND,680,0.4,163583,NA-146,2013
8,Mian Khurram Jahangir Wattoo,IND,647,0.4,163583,NA-146,2013
9,Rao Muhammad Saad Ajmal Khan,IND,445,0.3,163583,NA-146,2013
10,Ch. Jawied Iqbal Kanwal Chandoor,IND,265,0.2,163583,NA-146,2013
11,Mian Sana Ullah Dolla,IND,213,0.1,163583,NA-146,2013
12,Abdul Aziz Rashid,IND,145,0.1,163583,NA-146,2013
13,Moazzam Jahanzaib Wattoo,IND,144,0.1,163583,NA-146,2013
14,Khalil Ur Rehman Khan,IND,98,0.1,163583,NA-146,2013
15,Muhammad Ameer Afzal,IND,92,0.1,163583,NA-146,2013
1,Muhammad Moeen Wattoo,PML-N,87266,53.3,158404,NA-147,2013
2,Mian Manzoor Ahmad Khan Wattoo,PPPP,58234,35.6,158404,NA-147,2013
3,Malik Waqar Ahmad,PTI,8195,5.0,158404,NA-147,2013
4,Robina Shaheen Wattoo,IND,3519,2.1,158404,NA-147,2013
5,Tahir Masood Khan,IND,314,0.2,158404,NA-147,2013
6,Abdul Aziz Rashid,IND,219,0.1,158404,NA-147,2013
7,Rana Abdul Khaliq,IND,206,0.1,158404,NA-147,2013
8,Qasim Ali,APML,162,0.1,158404,NA-147,2013
9,Naseem Ahmad Khan Wattoo,IND,151,0.1,158404,NA-147,2013
10,Naseer Ahmad,Others,138,0.1,158404,NA-147,2013
1,Malik Abdul Ghaffar Dogar,PML-N,81830,39.9,200651,NA-148,2013
2,Makhdoom Shah Mahmood Qureshi,PTI,64763,31.6,200651,NA-148,2013
3,Syed Ali Musa Gillani,PPPP,49918,24.4,200651,NA-148,2013
4,Syed Muhammad Noor Ul Din Shah,IND,2329,1.1,200651,NA-148,2013
5,Mian Muhammad Ibhrahim,Others,633,0.3,200651,NA-148,2013
6,Mazhar Abbas Kaat,IND,349,0.2,200651,NA-148,2013
7,Malik Zulfiqar Ali Dogar,IND,267,0.1,200651,NA-148,2013
8,Muhammad Tariq Pachar,MQM,205,0.1,200651,NA-148,2013
9,Zulfiqar Ali,IND,139,0.1,200651,NA-148,2013
10,Mubarak Shah Hashmi,IND,134,0.1,200651,NA-148,2013
11,Syed Ali Qasim Gillani,IND,84,0.0,200651,NA-148,2013
1,Makhdoom Muhammad Javed Hashmi,PTI,83640,44.1,187813,NA-149,2013
2,Sheikh Muhammad Tariq Rasheed,PML-N,73898,38.9,187813,NA-149,2013
3,Malik Muhammad Amir Dogar,PPPP,20719,10.9,187813,NA-149,2013
4,Liaqat Baloch,Others,3802,2.0,187813,NA-149,2013
5,Seikh Muhammad Akram,Others,1815,1.0,187813,NA-149,2013
6,Mian Munir Ahmad Bhatti,IND,766,0.4,187813,NA-149,2013
7,Muhammad Amjad Khan,IND,444,0.2,187813,NA-149,2013
8,Muhammad Shahid,IND,423,0.2,187813,NA-149,2013
9,Ahmad Kamran Thaeem Ansari,Others,331,0.2,187813,NA-149,2013
10,Mian Asif Mahmood,IND,269,0.1,187813,NA-149,2013
11,Ameer Ahmad Awan,PFP-Falah,242,0.1,187813,NA-149,2013
12,Farah Noreen,PSP,235,0.1,187813,NA-149,2013
13,Tassadaq Waheed Siddiqui,IND,219,0.1,187813,NA-149,2013
14,Malik Shabbir Ahmad Khokhar,IND,204,0.1,187813,NA-149,2013
15,Nadeem Mumtaz Qureshi,Others,171,0.1,187813,NA-149,2013
16,Makhdeem Syed Zahid Hussain,APML,152,0.1,187813,NA-149,2013
17,Syed Baqar Ahsan,MQM,128,0.1,187813,NA-149,2013
18,Muhammad Mukhtiyar Hussain,IND,82,0.0,187813,NA-149,2013
19,Muhammad Idrees Jami,IND,68,0.0,187813,NA-149,2013
20,Fahad Ali Khadal,IND,46,0.0,187813,NA-149,2013
21,Muhammad Khalid Khakwani,IND,40,0.0,187813,NA-149,2013
22,Muhammad Aslam Hance,IND,38,0.0,187813,NA-149,2013
23,Muhammad Siddique Ansari,IND,28,0.0,187813,NA-149,2013
24,Syed Mujahid Abbas Shah,Others,26,0.0,187813,NA-149,2013
25,Muhammad Lateef Lajpal Sial,Others,14,0.0,187813,NA-149,2013
26,Muhammad Yousaf Qureshi,IND,13,0.0,187813,NA-149,2013
1,Makhdoom Shah Mahmood Qureshi,PTI,92761,48.1,190785,NA-150,2013
2,Rana Mehmood Ul Hassan,PML-N,79680,41.3,190785,NA-150,2013
3,Babu Nafees Ahmad Ansari,PPPP,12208,6.3,190785,NA-150,2013
4,Muhammad Ramzan,IND,2801,1.5,190785,NA-150,2013
5,Atta Ur Rehman,Others,1808,0.9,190785,NA-150,2013
6,Syed Abdul Jabbar,IND,390,0.2,190785,NA-150,2013
7,Mirza Furqan Ali Mughal,IND,245,0.1,190785,NA-150,2013
8,Muhammad Ahsan Yousaf Tahir,IND,241,0.1,190785,NA-150,2013
9,Muhammad Hanif,MQM,128,0.1,190785,NA-150,2013
10,Shahzad Saleem Khan,IND,105,0.1,190785,NA-150,2013
11,Sumera Khursheed,IND,83,0.0,190785,NA-150,2013
12,Muhammad Yaqoob,Others,76,0.0,190785,NA-150,2013
13,Syed Mehr Mohi Ud Din Hashmi,PML-F,56,0.0,190785,NA-150,2013
14,Muhammad Abu Bakar Usman,IND,54,0.0,190785,NA-150,2013
15,Malik Muhammad Aslam Dogar,IND,50,0.0,190785,NA-150,2013
16,Riaz Ahmad,APML,40,0.0,190785,NA-150,2013
17,Muhammad Mukhtiyar Hussain,IND,32,0.0,190785,NA-150,2013
18,Sultan Mehmood Malik,IND,27,0.0,190785,NA-150,2013
1,Sikandar Hayat Khan Bosan,PML-N,95714,47.0,198619,NA-151,2013
2,Syed Abdul Qadir Gillani,PPPP,56858,27.9,198619,NA-151,2013
3,Mian Salman Ali Qureshi,PTI,38647,19.0,198619,NA-151,2013
4,Sardar Ghulam Qasim Rabnawaz,IND,2027,1.0,198619,NA-151,2013
5,Saeed Nargis,IND,1494,0.7,198619,NA-151,2013
6,Nasreen Khan,IND,1054,0.5,198619,NA-151,2013
7,Shoukat Hayat Khan Bosan,IND,975,0.5,198619,NA-151,2013
8,Syed Ali Haider Gilani,IND,557,0.3,198619,NA-151,2013
9,Muhammad Sajjad Ali Hamdi,Others,216,0.1,198619,NA-151,2013
10,Shela Shaheen Nasir,IND,198,0.1,198619,NA-151,2013
11,Muhammad Ahmed Asim Dehar,IND,195,0.1,198619,NA-151,2013
12,Muhammad Asif Jah,MQM,188,0.1,198619,NA-151,2013
13,Rana Ijaz Gul,IND,172,0.1,198619,NA-151,2013
14,Amjad Hussain Urf Muhammad Asim Dehar,IND,107,0.1,198619,NA-151,2013
15,Mushtaq Maseeh,IND,76,0.0,198619,NA-151,2013
16,Malik Shakeel Ahmed Joyia,IND,61,0.0,198619,NA-151,2013
17,Muhammad Lateef Lajpal Sial,Others,57,0.0,198619,NA-151,2013
18,Malik Asif Nazar Dehar,IND,23,0.0,198619,NA-151,2013
